0,27,80,36,68,52,76,42,51,55,27,74,24,76,36
27,0,55,36,42,43,43,24,24,31,41,51,8,52,19
80,55,0,68,36,55,24,43,41,27,79,19,64,31,51
36,36,68,0,80,17,76,31,62,42,19,51,51,43,64
68,42,36,80,0,74,24,52,19,36,80,58,36,65,24
52,43,55,17,74,0,61,24,55,31,33,37,51,27,59
76,43,24,76,24,61,0,42,24,31,77,37,51,36,33
42,24,43,31,52,24,42,0,33,17,37,33,33,31,37
51,24,41,62,19,55,24,33,0,27,62,36,27,51,8
55,31,27,42,36,31,31,17,27,0,51,19,41,24,37
27,41,79,19,80,33,77,37,62,51,0,65,42,59,61
74,51,19,51,58,37,37,33,36,19,65,0,61,8,55
24,8,64,51,36,51,51,33,27,41,42,61,0,62,24
76,52,31,43,65,27,36,31,51,24,59,8,62,0,59
36,19,51,64,24,59,33,37,8,37,61,55,24,59,0
